Epoch,Train_Loss,Val_Loss,Precision,Recall,F1_Score,IoU_Score,Average_precision,Accuracy,Balanced_accuracy,Roc_auc,Jaccard_score
100,0.6707541267004484,0.6146259172953696,0.41929451718508776,0.5835880508497574,0.4879838932598408,0.3227372467517853,0.2760999556703755,24391776,0.7588301194947664,0.7588301194947664,0.8308975738331082
101,0.6701451465896104,0.6155592205593124,0.422308974769414,0.5766587476039284,0.4875596258783143,0.3223661780357361,0.27545543983393594,24417079,0.7561572503820128,0.7561572503820128,0.8324770556434974
102,0.6650410181207674,0.6144420210226083,0.4155408820741001,0.5901744414100373,0.4876958762277112,0.3224853277206421,0.27614956549426667,24360868,0.7612327279817026,0.7612327279817025,0.828971903209477
103,0.6669345878377911,0.6157536398726726,0.4240413537665938,0.5748193540906523,0.4880503861298643,0.32279539108276367,0.2758131746054642,24429721,0.7555669683124241,0.7555669683124241,0.8332672248927289
104,0.6655727792701512,0.6148756305867262,0.41984372679686827,0.5830907041058243,0.4881814139176783,0.32291004061698914,0.2762491685001275,24395851,0.7586837316972819,0.7586837316972819,0.8311517624044349
105,0.6686118548051531,0.6152063259862578,0.4216140572466082,0.5797405211779421,0.48819221193087564,0.32291948795318604,0.2761216094297858,24410195,0.7574339212349352,0.7574339212349354,0.8320470679233011
106,0.6665928684161394,0.6143771674897935,0.41520078628232066,0.5894511176733251,0.48721465926523005,0.3220646381378174,0.27570307622542034,24359109,0.7608651700532789,0.760865170053279,0.8288624335086632
107,0.6690595861544775,0.6150079781626477,0.4211439343443058,0.5804638449146542,0.4881328449202809,0.3228675425052643,0.27609913237835826,24406535,0.7576924322367175,0.7576924322367173,0.8318185395221194
108,0.6685190085301234,0.6153186719113417,0.4198588935701336,0.5820718340401282,0.48783419748254386,0.32260629534721375,0.2759070709263599,24396741,0.7582337603419067,0.7582337603419067,0.8312072878270365
109,0.6664174915013845,0.6153078869046498,0.41894540340852177,0.5839926384787505,0.4878886258112172,0.3226538896560669,0.276035204242663,24389108,0.7589622240344658,0.7589622240344659,0.8307311887172837
110,0.6675086087892871,0.6146049607437825,0.4210240458203723,0.5805960759933984,0.48809903790575426,0.3228379786014557,0.2760752413710229,24405639,0.7577351245203947,0.7577351245203947,0.8317626024582516
111,0.6668816957438886,0.6146284663137586,0.4173118214640298,0.5864922005866521,0.4876452437424195,0.322441041469574,0.27593579087885395,24376041,0.7598471134256025,0.7598471134256024,0.8299167248604957
112,0.66586554649761,0.6156749624774289,0.4233734570728364,0.5769686025197915,0.48837932890828045,0.3230832517147064,0.27617709877619895,24423810,0.7564349889477673,0.7564349889477673,0.8328976818978593
113,0.6703446609882375,0.6158614070327194,0.4212574707422465,0.5792811661991706,0.48779029597028867,0.322567880153656,0.27575601840251523,24408184,0.7571825108278945,0.7571825108278946,0.831921495124257
114,0.6693163146920352,0.6153728922698724,0.420694096636876,0.5807988632074425,0.4879488181779367,0.32270655035972595,0.27595369187936114,24403292,0.7577810186951086,0.7577810186951087,0.83161609600735
